Date,Price,Open,High,Low,Vol.,Change %
05/07/2021,5006.0,5006.0,5006.0,5006.0,,-3.12%
05/10/2021,5109.0,5109.0,5109.0,5109.0,,2.06%
05/11/2021,5068.0,5068.0,5068.0,5068.0,,-0.80%
05/12/2021,4709.0,4709.0,4709.0,4709.0,,-7.08%
05/13/2021,4549.0,4549.0,4549.0,4549.0,,-3.40%
05/14/2021,4165.0,4165.0,4165.0,4165.0,,-8.44%
05/17/2021,3943.0,3943.0,3943.0,3943.0,,-5.33%
05/18/2021,3790.0,3790.0,3790.0,3790.0,,-3.88%
05/19/2021,3785.0,3785.0,3785.0,3785.0,,-0.13%
05/20/2021,3814.0,3814.0,3814.0,3814.0,,0.77%
05/21/2021,3930.0,3930.0,3930.0,3930.0,,3.04%
05/24/2021,3958.0,3958.0,3958.0,3958.0,,0.71%
05/25/2021,3745.0,3745.0,3745.0,3745.0,,-5.38%
05/26/2021,3572.0,3572.0,3572.0,3572.0,,-4.62%
05/27/2021,3368.0,3368.0,3368.0,3368.0,,-5.71%
05/28/2021,3089.0,3089.0,3089.0,3089.0,,-8.28%
06/01/2021,3018.0,3018.0,3018.0,3018.0,,-2.30%
06/02/2021,2862.0,2862.0,2862.0,2862.0,,-5.17%
06/03/2021,2665.0,2665.0,2665.0,2665.0,,-6.88%
06/04/2021,2524.0,2524.0,2524.0,2524.0,,-5.29%
06/07/2021,2467.0,2467.0,2467.0,2467.0,,-2.26%
06/08/2021,2393.0,2393.0,2393.0,2393.0,,-3.00%
06/09/2021,2488.0,2488.0,2488.0,2488.0,,3.97%
06/10/2021,2899.0,2899.0,2899.0,2899.0,,16.52%
06/11/2021,3346.0,3346.0,3346.0,3346.0,,15.42%
06/14/2021,3543.0,3543.0,3543.0,3543.0,,5.89%
06/15/2021,3695.0,3695.0,3695.0,3695.0,,4.29%
06/16/2021,4010.0,4010.0,4010.0,4010.0,,8.53%
06/17/2021,4212.0,4212.0,4212.0,4212.0,,5.04%
06/18/2021,4029.0,4029.0,4029.0,4029.0,,-4.34%
06/21/2021,3953.0,3953.0,3953.0,3953.0,,-1.89%
06/22/2021,3783.0,3783.0,3783.0,3783.0,,-4.30%
06/23/2021,3868.0,3868.0,3868.0,3868.0,,2.25%
06/24/2021,3861.0,3861.0,3861.0,3861.0,,-0.18%
06/25/2021,3987.0,3987.0,3987.0,3987.0,,3.26%
06/28/2021,4021.0,4021.0,4021.0,4021.0,,0.85%
06/29/2021,4136.0,4136.0,4136.0,4136.0,,2.86%
06/30/2021,3931.0,3931.0,3931.0,3931.0,,-4.96%
07/01/2021,3690.0,3690.0,3690.0,3690.0,,-6.13%
07/02/2021,3510.0,3510.0,3510.0,3510.0,,-4.88%
07/05/2021,3349.0,3349.0,3349.0,3349.0,,-4.59%
07/06/2021,3293.0,3293.0,3293.0,3293.0,,-1.67%
07/07/2021,3499.0,3499.0,3499.0,3499.0,,6.26%
07/08/2021,3649.0,3649.0,3649.0,3649.0,,4.29%
07/09/2021,3735.0,3735.0,3735.0,3735.0,,2.36%
07/12/2021,3770.0,3770.0,3770.0,3770.0,,0.94%
07/13/2021,3650.0,3650.0,3650.0,3650.0,,-3.18%
07/14/2021,3512.0,3512.0,3512.0,3512.0,,-3.78%
07/15/2021,3460.0,3460.0,3460.0,3460.0,,-1.48%
07/16/2021,3442.0,3442.0,3442.0,3442.0,,-0.52%
07/19/2021,3514.0,3514.0,3514.0,3514.0,,2.09%
07/20/2021,3505.0,3505.0,3505.0,3505.0,,-0.26%
07/21/2021,3513.0,3513.0,3513.0,3513.0,,0.23%
07/22/2021,3629.0,3629.0,3629.0,3629.0,,3.30%
